dataid/date,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08
2005,,,,,,,,,,16.26616667,400.9036,471.811,498.5344167,815.7360667,1028.953533,723.612
2462,,,,,,,,,,52.81543333,731.1699,716.5107333,975.1868667,1217.788217,1659.732017,1111.9106
2542,,,,,,317.1751833,1635.026767,3115.971967,4062.6775,2719.959167,2533.44535,1695.267833,,,,
2933,,,,,,,,,,,618.3432667,639.8191333,650.44525,846.4456833,928.3211333,673.7368333
3485,,,,,,,,,,26.35551667,423.8037667,313.2318,331.4767,653.57145,1314.761167,779.51395
3841,,,,,,,,,958.7852667,405.2777333,287.3400833,221.3625167,284.22995,497.78445,900.75535,547.116
4399,,,,,,,,,,28.66831667,803.1353,872.93165,1165.6911,1364.65975,1723.249067,1215.654233
5265,,,,,,,,,,30.29188333,374.7481,317.9826667,388.9111333,499.8869333,632.4580667,131.1619
7246,,,,,,157.2349667,906.0896833,971.8973,1073.360017,823.9164,1153.29155,875.6550833,773.0492333,577.7041,432.5835167,497.1204333
7352,1187.01135,1702.057017,1918.017217,1928.124917,1482.2501,1153.941567,266.4596167,,446.8722,909.5255,1012.298633,1169.8999,1510.759617,1754.161417,617.2722167,
7624,,,,,,,,,,24.91766667,367.2623,460.0571667,628.81815,1018.744767,1378.616767,938.96405
9765,,,,,,12.57781667,514.7683,437.44855,400.1316333,313.6474,365.8867833,231.7100833,,,,
9783,,,,,,,,,,132.90765,1759.797517,766.3482667,386.5788333,,,
10323,,,,,,,,,,57.67005,841.4927667,432.8841333,,,,
10532,1116.783667,1598.67095,1853.184583,1516.74725,1011.148017,711.1050333,603.0462833,656.00545,696.9729833,582.82235,586.6699667,577.3939,651.4933667,1028.901617,1451.66185,1153.0413
10686,644.50505,978.4582333,999.9784833,1025.81875,738.5989667,736.41815,742.3721333,1209.49065,1470.09045,901.1030833,885.9038667,635.23675,572.2963667,704.0639833,947.08495,623.0439
11744,,,,,,,,,,20.63565,344.8679833,284.466,465.2421,1475.269967,1069.332533,
