dataid,day_of_week,grid
2005,0,35.87128714285715
2005,1,35.23155257142857
2005,2,35.41139914285714
2005,3,30.94875
2005,4,29.78852175
2005,5,27.992639142857143
2005,6,29.281499142857143
2462,0,51.55530171428571
2462,1,49.64328514285715
2462,2,53.210407714285715
2462,3,45.40175175
2462,4,48.222999
2462,5,57.957543428571434
2462,6,57.70225542857143
2542,0,112.06497975
2542,1,111.2812755
2542,2,109.6605765
2542,3,113.20626225000001
2542,4,114.297405
2542,5,120.78963750000001
2542,6,120.1293225
2933,0,37.75979828571429
2933,1,36.823975714285716
2933,2,36.679548857142855
2933,3,40.16693742857143
2933,4,39.64783114285715
2933,5,30.67341428571429
2933,6,37.036070571428574
3485,0,35.34324085714286
3485,1,34.63101685714286
3485,2,34.77168857142858
3485,3,28.351740000000003
3485,4,29.70776925
3485,5,32.49084257142857
3485,6,29.589641142857143
3841,0,26.91227666666667
3841,1,28.66530133333334
3841,2,26.361552000000003
3841,3,23.41810666666667
3841,4,24.416846666666668
3841,5,26.228232000000002
3841,6,24.916856000000003
4399,0,63.83808771428572
4399,1,65.37233485714286
4399,2,61.65783171428571
4399,3,52.139052750000005
4399,4,52.32343275
4399,5,59.44934057142858
4399,6,60.87123257142857
5265,0,20.648239
5265,1,19.573307
5265,2,18.722892
5265,3,17.240481428571428
5265,4,18.674584285714285
5265,5,21.23736
5265,6,20.443733
6820,0,5.749560000000001
6820,1,3.5338200000000004
6820,4,0.24042000000000002
6820,5,4.0167600000000006
6820,6,5.205426
7246,0,40.148574
7246,1,37.0102865
7246,2,35.621008
7246,3,36.940308
7246,4,35.264516500000006
7246,5,36.104318
7246,6,41.100961000000005
7352,0,62.449772571428575
7352,1,61.850381142857145
7352,2,62.63632628571429
7352,3,61.37949942857143
7352,4,61.21520785714286
7352,5,63.680104285714286
7352,6,65.439741
7624,0,41.978242285714295
7624,1,40.112906571428574
7624,2,40.86797057142858
7624,3,35.0201055
7624,4,37.90349925
7624,5,40.524559714285715
7624,6,41.90663314285714
9765,0,19.028108
9765,1,16.335653
9765,2,16.357258
9765,3,16.040667428571428
9765,4,18.412764
9765,5,23.235533
9765,6,24.486806
9783,0,54.977872
9783,1,55.37001
9783,2,50.79226
9783,3,38.161116
9783,4,42.6745605
9783,5,53.433684
9783,6,43.12114400000001
10323,0,36.782613000000005
10323,1,35.516952
10323,2,27.212862
10323,3,22.460606000000002
10323,4,23.594656
10323,5,34.134963
10323,6,37.038168000000006
10458,0,2.8239780000000003
10458,1,2.0784480000000003
10458,3,0.693456
10458,4,2.9554440000000004
10458,5,3.0921780000000005
10458,6,2.8453380000000004
10532,0,51.392440235294124
10532,1,49.48939835294118
10532,2,48.73016505882353
10532,3,48.10746247058824
10532,4,50.04964129411765
10532,5,51.333932117647066
10532,6,53.60665305882353
10686,0,42.01934435294118
10686,1,43.37748882352941
10686,2,42.823663411764706
10686,3,43.35815435294118
10686,4,43.9106145882353
10686,5,44.62948623529412
10686,6,44.77119
11744,0,37.3804044
11744,1,33.072536400000004
11744,2,44.34452640000001
11744,3,38.957941999999996
11744,4,28.859580000000005
11744,5,31.7321328
11744,6,35.5959984
