Data ID,Exterior Wall,Year Built,Res Sq Ft,Bedrooms,Heating System,Heat,Grade Factor,Assessed Value
11744,FRAME,1938,1114,2,WARM AIR,CENTRAL,D+ 0.85,"$36,480"
3841,BLOCK,1953,1520,4,WARM AIR,CENTRAL,D+ 0.85,"$73,560"
10686,BRICK,1935,1304,3,WARM AIR,CENTRAL,D+ 0.85,"$82,360"
10532,FRAME,1938,972,2,WARM AIR,CENTRAL,C- 0.92,"$58,240"
10323,FRAME,2002,1663,3,WARM AIR,CENTRAL WITH A/C,D 0.78,"$109,880"
7352,BRICK,1965,1400,3,WARM AIR,CENTRAL,C- 0.92,"$83,760"
9765,ASBESTOS,1940,850,2,WARM AIR,CENTRAL,C- 0.92,"$79,000"
7246,BRICK,1949,1544,3,NONE,NON CENTRAL,D 0.78,"$73,280"
7624,BRICK,1949,1480,2,WARM AIR,CENTRAL WITH A/C,C- 0.92,"$90,880"
4399,BRICK,1961,1312,2,WARM AIR,CENTRAL WITH A/C,C- 0.92,"$113,040"
2542,AL/VINYL,1950,1188,2,WARM AIR,CENTRAL,D+ 0.85,"$76,200"
9783,AL/VINYL,1945,1063,3,NONE,NON CENTRAL,D+ 0.85,"$58,520"
10780,FRAME,1935,1410,2,WARM AIR,CENTRAL,C- 0.92,"$77,600"
2005,FRAME,1948,1542,3,NONE,NON CENTRAL,C- 0.92,"$82,480"
4164,FRAME,1948,932,3,NONE,NON CENTRAL,D 0.78,"$63,760"
3485,FRAME,1957,884,2,WARM AIR,CENTRAL,C- 0.92,"$62,400"
2933,BRICK,1968,1107,2,WARM AIR,CENTRAL,C- 0.92,"$84,280"
5265,FRAME,1955,880,2,WARM AIR,CENTRAL,C 1,"$73,600"
2462,FRAME,1950,1224,3,WARM AIR,CENTRAL WITH A/C,C+ 1.08,"$140,520"
